hhcode,Province,Region,PSU,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
1102300308,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300309,Khyber Pakhtunkhwa,Urban,11023003,No,Yes,98,No,No,No,No,No
1102300310,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300311,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300312,Khyber Pakhtunkhwa,Urban,11023003,No,No,No,No,No,No,No,No
1102300701,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300702,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300703,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300704,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300705,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300706,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300707,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300708,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300709,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300710,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102300712,Khyber Pakhtunkhwa,Urban,11023007,No,No,No,No,No,No,No,No
1102301101,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301102,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301103,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301104,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301105,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301106,Khyber Pakhtunkhwa,Urban,11023011,No,No,98,98,No,No,No,No
1102301107,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301108,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301109,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301110,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301111,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301112,Khyber Pakhtunkhwa,Urban,11023011,No,No,No,No,No,No,No,No
1102301501,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301502,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301503,Khyber Pakhtunkhwa,Urban,11023015,Yes,Yes,Yes,Yes,No,No,No,No
1102301504,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301505,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301506,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301508,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301509,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301510,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102301511,Khyber Pakhtunkhwa,Urban,11023015,Yes,Yes,Yes,No,No,No,No,No
1102301512,Khyber Pakhtunkhwa,Urban,11023015,No,No,No,No,No,No,No,No
1102400401,Khyber Pakhtunkhwa,Urban,11024004,98,98,No,No,No,No,No,No
1102400402,Khyber Pakhtunkhwa,Urban,11024004,No,No,No,No,No,No,No,No
1102400403,Khyber Pakhtunkhwa,Urban,11024004,98,98,No,No,No,No,No,No
1102400404,Khyber Pakhtunkhwa,Urban,11024004,No,No,No,No,No,No,No,No
1102400406,Khyber Pakhtunkhwa,Urban,11024004,No,No,No,No,No,No,No,No
1102400407,Khyber Pakhtunkhwa,Urban,11024004,98,99,Yes,Yes,No,No,No,No
1102400408,Khyber Pakhtunkhwa,Urban,11024004,No,No,No,No,No,No,No,No
1102400409,Khyber Pakhtunkhwa,Urban,11024004,No,No,No,No,No,No,No,No
1102400410,Khyber Pakhtunkhwa,Urban,11024004,No,Yes,Yes,Yes,Yes,No,No,No
1102400411,Khyber Pakhtunkhwa,Urban,11024004,No,No,No,No,No,No,No,No
1102400412,Khyber Pakhtunkhwa,Urban,11024004,No,No,No,No,No,No,No,No
1102400801,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400802,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400803,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400804,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400805,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400806,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400807,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400808,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400809,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400810,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102400811,Khyber Pakhtunkhwa,Urban,11024008,Yes,98,98,Yes,Yes,Yes,No,Yes
1102400812,Khyber Pakhtunkhwa,Urban,11024008,No,No,No,No,No,No,No,No
1102401201,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401202,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401204,Khyber Pakhtunkhwa,Urban,11024012,98,98,No,No,No,No,No,No
1102401205,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401206,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401207,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401209,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401210,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401211,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401212,Khyber Pakhtunkhwa,Urban,11024012,No,No,No,No,No,No,No,No
1102401601,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401602,Khyber Pakhtunkhwa,Urban,11024016,Yes,Yes,No,Yes,Yes,Yes,Yes,No
1102401603,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401604,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401605,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401606,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401607,Khyber Pakhtunkhwa,Urban,11024016,Yes,Yes,No,No,No,No,No,No
1102401608,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401609,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401610,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401611,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1102401612,Khyber Pakhtunkhwa,Urban,11024016,No,No,No,No,No,No,No,No
1111100101,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100102,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100103,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100104,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100105,Khyber Pakhtunkhwa,Rural,11111001,Yes,Yes,No,No,No,No,No,No
1111100106,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100107,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100108,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100109,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100110,Khyber Pakhtunkhwa,Rural,11111001,Yes,Yes,Yes,Yes,No,98,98,Yes
1111100111,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100112,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100113,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100114,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100115,Khyber Pakhtunkhwa,Rural,11111001,No,No,No,No,No,No,No,No
1111100116,Khyber Pakhtunkhwa,Rural,11111001,Yes,Yes,Yes,No,No,No,No,No
1111100501,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100502,Khyber Pakhtunkhwa,Rural,11111005,No,Yes,Yes,No,No,No,No,No
1111100503,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100504,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100505,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100506,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100507,Khyber Pakhtunkhwa,Rural,11111005,No,Yes,Yes,No,Yes,No,No,No
1111100508,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100509,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100510,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100511,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100512,Khyber Pakhtunkhwa,Rural,11111005,No,No,Yes,No,No,No,No,No
1111100513,Khyber Pakhtunkhwa,Rural,11111005,No,No,No,No,No,No,No,No
1111100514,Khyber Pakhtunkhwa,Rural,11111005,Yes,Yes,No,No,No,No,98,98
1111100515,Khyber Pakhtunkhwa,Rural,11111005,Yes,Yes,No,No,No,99,99,98
1111100516,Khyber Pakhtunkhwa,Rural,11111005,No,No,Yes,No,No,No,No,No
